"histology_abbreviation","Sum","Freq_mut","percent_mut","percent_whole","cell_type","regulator","pathway","pathway_new"
"Lung-AdenoCA",38,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Lymph-CLL",95,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Myeloid-AML",13,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Myeloid-MDS",2,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Myeloid-MPN",23,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Ovary-AdenoCA",112,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Panc-Endocrine",85,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Prost-AdenoCA",210,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"SoftTissue-Leiomyo",15,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"SoftTissue-Liposarc",19,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"Thy-AdenoCA",48,0,0,0.0137142857142857,"MHCregulators","pos","N-Glycan Trimming In The Er And Calnexin_Calreticulin Cycle","N-Glycan Trimming In the ER and 
Calnexin"
"ColoRect-AdenoCA",52,6,0.115384615384615,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Bladder-TCC",23,2,0.0869565217391304,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Stomach-AdenoCA",69,6,0.0869565217391304,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Skin-Melanoma",106,8,0.0754716981132075,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Lung-SCC",48,3,0.0625,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-RCC",143,7,0.048951048951049,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MPN",23,1,0.0434782608695652,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Lymph-BNHL",107,4,0.0373831775700935,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Head-SCC",57,2,0.0350877192982456,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Liver-HCC",315,8,0.0253968253968254,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Breast-AdenoCA",198,3,0.0151515151515152,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Panc-AdenoCA",237,3,0.0126582278481013,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Lymph-CLL",95,1,0.0105263157894737,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Eso-AdenoCA",98,1,0.0102040816326531,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Medullo",146,1,0.00684931506849315,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Biliary-AdenoCA",33,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Benign",16,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Epith",10,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Bone-Osteosarc",38,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Breast-DCIS",3,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Breast-LobularCA",13,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-AdenoCA",2,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Cervix-SCC",18,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"CNS-GBM",41,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"CNS-Oligo",18,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"CNS-PiloAstro",89,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Kidney-ChRCC",45,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Lung-AdenoCA",38,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-AML",13,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Myeloid-MDS",2,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Ovary-AdenoCA",112,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Panc-Endocrine",85,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Leiomyo",15,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"SoftTissue-Liposarc",19,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Thy-AdenoCA",48,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"Uterus-AdenoCA",40,0,0,0.0217142857142857,"NKcells","neg","Interferon Gamma Signaling","IFNg Signaling"
"ColoRect-AdenoCA",52,5,0.0961538461538462,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"CNS-GBM",41,2,0.048780487804878,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Lung-SCC",48,2,0.0416666666666667,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Skin-Melanoma",106,3,0.0283018867924528,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Lymph-BNHL",107,3,0.0280373831775701,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Liver-HCC",315,8,0.0253968253968254,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Head-SCC",57,1,0.0175438596491228,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Panc-Endocrine",85,1,0.0117647058823529,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Lymph-CLL",95,1,0.0105263157894737,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Eso-AdenoCA",98,1,0.0102040816326531,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Ovary-AdenoCA",112,1,0.00892857142857143,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Panc-AdenoCA",237,2,0.00843881856540084,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Breast-AdenoCA",198,1,0.00505050505050505,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Biliary-AdenoCA",33,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Bladder-TCC",23,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Bone-Benign",16,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Bone-Epith",10,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Bone-Osteosarc",38,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Breast-DCIS",3,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Breast-LobularCA",13,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Cervix-AdenoCA",2,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Cervix-SCC",18,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"CNS-Medullo",146,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"CNS-Oligo",18,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"CNS-PiloAstro",89,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Kidney-ChRCC",45,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Kidney-RCC",143,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Myeloid-AML",13,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Myeloid-MDS",2,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Myeloid-MPN",23,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Prost-AdenoCA",210,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"SoftTissue-Leiomyo",15,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"SoftTissue-Liposarc",19,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Stomach-AdenoCA",69,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Thy-AdenoCA",48,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"Uterus-AdenoCA",40,0,0,0.0121904761904762,"NKcells","neg","Antigen Processing And Presentation Of Endogenous Peptide Antigen","Antigen Processing and Presentation"
"ColoRect-AdenoCA",52,9,0.173076923076923,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"SoftTissue-Leiomyo",15,2,0.133333333333333,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Skin-Melanoma",106,14,0.132075471698113,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Bladder-TCC",23,3,0.130434782608696,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Lung-SCC",48,6,0.125,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Head-SCC",57,4,0.0701754385964912,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Breast-AdenoCA",198,11,0.0555555555555556,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Liver-HCC",315,17,0.053968253968254,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Ovary-AdenoCA",112,6,0.0535714285714286,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Eso-AdenoCA",98,5,0.0510204081632653,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Uterus-AdenoCA",40,2,0.05,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Lymph-BNHL",107,4,0.0373831775700935,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Panc-AdenoCA",237,7,0.029535864978903,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Kidney-RCC",143,4,0.027972027972028,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Lung-AdenoCA",38,1,0.0263157894736842,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"CNS-GBM",41,1,0.024390243902439,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Panc-Endocrine",85,2,0.0235294117647059,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Stomach-AdenoCA",69,1,0.0144927536231884,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"CNS-Medullo",146,2,0.0136986301369863,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Lymph-CLL",95,1,0.0105263157894737,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Biliary-AdenoCA",33,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Bone-Benign",16,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Bone-Epith",10,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Bone-Osteosarc",38,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Breast-DCIS",3,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Breast-LobularCA",13,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Cervix-AdenoCA",2,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Cervix-SCC",18,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"CNS-Oligo",18,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"CNS-PiloAstro",89,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Kidney-ChRCC",45,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Myeloid-AML",13,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Myeloid-MDS",2,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Myeloid-MPN",23,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Thy-AdenoCA",48,0,0,0.0396190476190476,"NKcells","pos","Signal Transduction By P53 Class Mediator","Signal Transduction by P53 Class Mediator"
"Lung-AdenoCA",38,4,0.105263157894737,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Skin-Melanoma",106,10,0.0943396226415094,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"ColoRect-AdenoCA",52,3,0.0576923076923077,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Cervix-SCC",18,1,0.0555555555555556,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Bladder-TCC",23,1,0.0434782608695652,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Lung-SCC",48,2,0.0416666666666667,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Head-SCC",57,2,0.0350877192982456,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Lymph-CLL",95,3,0.0315789473684211,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Breast-AdenoCA",198,5,0.0252525252525253,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Uterus-AdenoCA",40,1,0.025,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Lymph-BNHL",107,2,0.0186915887850467,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Stomach-AdenoCA",69,1,0.0144927536231884,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Kidney-RCC",143,2,0.013986013986014,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Panc-AdenoCA",237,3,0.0126582278481013,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Liver-HCC",315,3,0.00952380952380952,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Prost-AdenoCA",210,1,0.00476190476190476,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Biliary-AdenoCA",33,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Bone-Benign",16,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Bone-Epith",10,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Bone-Osteosarc",38,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Breast-DCIS",3,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Breast-LobularCA",13,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Cervix-AdenoCA",2,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"CNS-GBM",41,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"CNS-Medullo",146,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"CNS-Oligo",18,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"CNS-PiloAstro",89,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Eso-AdenoCA",98,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Kidney-ChRCC",45,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Myeloid-AML",13,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Myeloid-MDS",2,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Myeloid-MPN",23,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Ovary-AdenoCA",112,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Panc-Endocrine",85,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"SoftTissue-Leiomyo",15,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"SoftTissue-Liposarc",19,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Thy-AdenoCA",48,0,0,0.0167619047619048,"NKcells","pos","Telomerase Pathway","Telomerase Pathway"
"Lymph-BNHL",107,59,0.551401869158878,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Lung-SCC",48,19,0.395833333333333,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Bladder-TCC",23,9,0.391304347826087,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Skin-Melanoma",106,41,0.386792452830189,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"SoftTissue-Leiomyo",15,4,0.266666666666667,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"ColoRect-AdenoCA",52,13,0.25,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Lung-AdenoCA",38,9,0.236842105263158,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Head-SCC",57,12,0.210526315789474,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Eso-AdenoCA",98,18,0.183673469387755,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Uterus-AdenoCA",40,7,0.175,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Liver-HCC",315,55,0.174603174603175,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Breast-AdenoCA",198,34,0.171717171717172,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Stomach-AdenoCA",69,11,0.159420289855072,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Breast-LobularCA",13,2,0.153846153846154,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"CNS-GBM",41,6,0.146341463414634,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Ovary-AdenoCA",112,16,0.142857142857143,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Biliary-AdenoCA",33,4,0.121212121212121,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Kidney-RCC",143,17,0.118881118881119,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Panc-Endocrine",85,8,0.0941176470588235,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Myeloid-MPN",23,2,0.0869565217391304,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Bone-Osteosarc",38,3,0.0789473684210526,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Panc-AdenoCA",237,17,0.0717299578059072,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Prost-AdenoCA",210,12,0.0571428571428571,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Cervix-SCC",18,1,0.0555555555555556,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"CNS-Oligo",18,1,0.0555555555555556,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"SoftTissue-Liposarc",19,1,0.0526315789473684,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Kidney-ChRCC",45,2,0.0444444444444444,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Lymph-CLL",95,3,0.0315789473684211,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"CNS-Medullo",146,4,0.0273972602739726,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Bone-Benign",16,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Bone-Epith",10,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Breast-DCIS",3,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Cervix-AdenoCA",2,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"CNS-PiloAstro",89,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
"Myeloid-AML",13,0,0,0.148571428571429,"Tcells","neg","Regulation Of Apoptotic Signaling Pathway","Apoptotic Signaling Pathway"
